City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
289,kita,75,JP,1542004200,82,35.76,139.74,66.2,1.12
290,ust-kulom,92,RU,1542006268,75,61.69,53.69,18.73,10.54
291,buarcos,20,PT,1542002400,100,40.16,-8.88,48.2,3.36
292,alofi,44,NU,1542002400,88,-19.06,-169.92,77.0,5.82
293,buala,76,SB,1542006269,93,-8.15,159.59,82.36,8.79
294,strathmore,40,CA,1542003300,92,51.04,-113.4,19.4,9.17
295,velikiy ustyug,0,RU,1542006270,86,60.76,46.3,14.46,11.59
296,gloversville,75,US,1542005460,72,43.05,-74.34,30.92,3.36
297,bogorodskoye,80,RU,1542006271,82,52.37,140.44,34.03,7.9
298,bosaso,0,SO,1542002400,83,11.28,49.18,78.8,9.17
299,mataram,92,ID,1542006263,81,-5.32,105.06,81.19,2.82
300,cap malheureux,20,MU,1542006000,65,-19.98,57.61,82.4,13.87
301,mastic beach,1,US,1542004500,91,40.77,-72.85,33.08,6.29
302,lavrentiya,44,RU,1542006272,100,65.58,-170.99,31.29,33.69
303,coquimbo,75,CL,1542002400,87,-29.95,-71.34,59.0,8.05
304,mercedes,88,UY,1542006273,80,-33.25,-58.03,73.32,8.57
305,sur,0,OM,1542006273,88,22.57,59.53,83.17,4.76
306,elmira,75,US,1542002160,84,42.09,-76.81,35.06,3.49
307,yate,0,GB,1542003600,100,51.54,-2.41,50.0,6.93
308,ozinki,0,RU,1542006274,66,51.2,49.73,15.72,9.53
309,sitka,92,US,1542006274,91,37.17,-99.65,29.8,18.14
310,kavieng,48,PG,1542006275,100,-2.57,150.8,84.57,6.33
311,kerema,0,PG,1542006275,59,-7.96,145.78,86.32,4.38
312,maniitsoq,0,GL,1542006276,100,65.42,-52.9,15.67,5.73
313,ubatuba,64,BR,1542006276,100,-23.43,-45.08,67.6,0.85
314,baykit,56,RU,1542006277,71,61.68,96.39,-11.47,10.02
315,grafton,8,AU,1542006278,62,-29.69,152.93,72.1,5.99
316,kongolo,0,CD,1542006278,67,-5.39,27.0,78.58,3.31
317,udachnyy,0,RU,1542006278,53,66.42,112.4,-11.15,3.87
318,mossendjo,92,CG,1542006280,98,-2.95,12.72,73.36,2.82
319,ozernovskiy,0,RU,1542006280,89,51.5,156.52,40.47,21.94
320,stilfontein,0,ZA,1542006000,23,-26.84,26.78,51.8,2.24
321,vila velha,20,BR,1542002400,78,-3.71,-38.6,80.6,12.75
322,coihaique,0,CL,1542002400,81,-45.58,-72.07,50.0,8.05
323,henties bay,0,NA,1542006215,96,-22.12,14.28,61.66,2.86
324,saskylakh,24,RU,1542006259,60,71.97,114.09,-12.68,13.82
325,barcelona,20,ES,1542004200,100,41.38,2.18,55.4,4.7
326,margate,90,AU,1542004200,63,-43.03,147.26,60.8,16.11
327,susanville,1,US,1542004500,49,40.42,-120.65,24.8,5.82
328,alvaraes,44,BR,1542006282,94,-3.22,-64.8,78.31,2.53
329,junin,0,PE,1542002400,43,-16.45,-71.58,50.0,3.36
330,mayo,90,CA,1542002400,79,63.59,-135.9,21.2,8.05
331,dikson,20,RU,1542006200,100,73.51,80.55,3.57,1.52
332,ushtobe,76,KZ,1542006283,82,45.25,77.98,12.52,8.23
333,nizhniy odes,92,RU,1542006283,77,63.64,54.86,23.41,8.52
334,daliao,75,TW,1542004200,62,22.61,120.4,84.2,8.05
335,tabou,12,CI,1542006048,100,4.42,-7.36,81.82,2.3
336,ponta delgada,40,PT,1542004200,67,37.73,-25.67,60.8,5.82
337,cayenne,90,GF,1542004200,94,4.94,-52.33,75.2,5.55
338,la palma,92,CO,1542006285,99,5.36,-74.39,67.74,1.25
339,acapulco,40,MX,1542001620,88,16.86,-99.88,78.8,5.21
340,palauig,0,PH,1542006286,66,15.44,119.9,86.23,3.76
341,youkounkoun,0,GN,1542006286,70,12.53,-13.12,66.66,2.26
342,beloha,12,MG,1542006286,61,-25.17,45.06,76.69,15.95
343,guerrero negro,0,MX,1542006089,68,27.97,-114.04,63.28,13.67
344,killybegs,92,IE,1542006287,100,54.63,-8.45,48.88,21.54
345,la ronge,90,CA,1542002400,78,55.1,-105.3,8.6,9.17
346,isla mujeres,20,MX,1542001500,78,21.23,-86.73,78.8,5.82
347,evansville,40,US,1542004320,61,37.97,-87.56,39.02,7.07
348,sao joao da barra,32,BR,1542006168,100,-21.64,-41.05,75.79,14.12
349,manturovo,0,RU,1542006288,83,58.33,44.76,10.14,5.61
350,makakilo city,20,US,1542002220,68,21.35,-158.09,75.92,4.7
351,uige,76,AO,1542006289,96,-7.61,15.06,70.57,3.09
352,mantamados,20,GR,1542003600,87,39.31,26.33,59.0,8.23
353,kabanjahe,20,ID,1542002400,79,3.1,98.49,84.2,8.05
354,coahuayana,0,MX,1542006279,83,18.62,-100.35,58.56,2.04
355,hualmay,44,PE,1542006262,93,-11.1,-77.61,59.23,4.76
356,gobabis,0,NA,1542002400,12,-22.45,18.97,80.6,6.93
